ID,Status,Cluster,Funnel stage,Search intent,Audience,Country/region,Certification/property,Working title,Primary keyword,Supporting keyword cluster,Semantic entities,Real question answered,Content type,Pillar/spoke,Canonical target,Slug,Primary PCI domain,Verified deep URL,Internal links,External primary sources,Comparison bodies,Word range,CTA,Schema,Repurposing package,Image concept,Risk/approval flags,Owner,Verification date,Publication date,Performance notes
A-011,Planned (pilot),3,Consideration,Commercial,Planning/cost engineers moving up,Global,PCL-AI,PCI PCL-AI explained: the AI-era project controls credential,pcl-ai certification,"pci pcl-ai, project controls certification ai","project controls, scheduling, cost, forecasting, applied AI",What is PCL-AI and who is it for?,standard,Pillar,New pillar page,pcl-ai-certification-explained,projectcontrolsinstitute.org,/certifications/pcl-ai,pillar:self; siblings:A-012 A-013; money:/certifications/pcl-ai; world:pciworld.org,PCI PCL-AI syllabus,none,1600-2200,Review PCL-AI,Article+EducationalOccupationalCredential(verify),full,Schedule + cost curve composite,[LIVE-SITE VERIFICATION PENDING],Unassigned,,,
A-012,Planned,3,Consideration,Informational,PCL-AI candidates,Global,PCL-AI,Inside the PCL-AI syllabus: the thirteen domains,pcl-ai syllabus,"pcl-ai exam content, body of knowledge","BoK domains, assessment blueprint",What exactly does PCL-AI examine?,standard,Spoke,A-011,pcl-ai-syllabus-domains,projectcontrolsinstitute.org,/certifications/pcl-ai,pillar:A-011; siblings:A-013 A-014; money:/certifications/pcl-ai,PCI BoK pages,none,1500-2000,See the syllabus,Article,social-core,Domain wheel infographic,[LIVE-SITE VERIFICATION PENDING],Unassigned,,,
A-013,Planned,3,Decision,Commercial,PCL-AI candidates,Global,PCL-AI,"PCL-AI cost, eligibility and exam format",pcl-ai exam cost,"pcl-ai fee, pcl-ai eligibility, exam format","fee, eligibility, assessment format",What does PCL-AI cost and how is it assessed?,pricing-route,Spoke,A-011,pcl-ai-cost-eligibility-format,projectcontrolsinstitute.org,/certifications/pcl-ai,pillar:A-011; siblings:A-005 A-012; money:/pricing,PCI pricing and policy,none,1200-1600,Check current fees,Article+FAQPage,social-core,Fee components graphic,[PRICE UNVERIFIED]; [LIVE-SITE VERIFICATION PENDING],Unassigned,,,
A-014,Planned,3,Decision,Informational,PCL-AI candidates,Global,PCL-AI,How to prepare for PCL-AI: a practical plan,pcl-ai exam preparation,"study plan, practice, guided labs","preparation, labs, practice questions",How should I structure PCL-AI preparation?,applied,Spoke,A-011,pcl-ai-preparation-plan,projectcontrolsinstitute.org,/certifications/pcl-ai,pillar:A-011; siblings:A-026 A-027; money:/certifications/pcl-ai,PCI and Certuvo guidance,none,1500-2000,Start preparing,Article,full,Study timeline with lab checkpoints,[VERIFY CERTUVO ACCESS TERM],Unassigned,,,
A-015,Planned,3,Awareness,Informational,Schedulers and planners,Global,PCL-AI,Is PCL-AI worth it for planners and schedulers?,pcl-ai for planners,"scheduler certification, planner credential","career value, capability, roles",Does PCL-AI help a planning career specifically?,career,Spoke,A-011,pcl-ai-for-planners-schedulers,projectcontrolsinstitute.org,/certifications/pcl-ai,pillar:A-011; siblings:A-041; money:/certifications/pcl-ai; world:pciworld.org/careers,PCI syllabus pages,none,1200-1600,Map your pathway,Article,social-core,Planner at a P6 screen,[LIVE-SITE VERIFICATION PENDING],Unassigned,,,
A-016,Planned (pilot),4,Consideration,Commercial,Cost/commercial/finance-adjacent professionals,Global,PFL-AI,PCI PFL-AI explained: project finance for delivery professionals,pfl-ai certification,"pci pfl-ai, project finance certification","project finance, budgeting, cash flow, accounting foundations, applied AI",What is PFL-AI and who is it for?,standard,Pillar,New pillar page,pfl-ai-certification-explained,projectcontrolsinstitute.org,/certifications/pfl-ai,pillar:self; siblings:A-017 A-018; money:/certifications/pfl-ai,PCI PFL-AI syllabus,none,1600-2200,Review PFL-AI,Article+EducationalOccupationalCredential(verify),full,Cash-flow S-curve visual,[LIVE-SITE VERIFICATION PENDING],Unassigned,,,
A-017,Planned,4,Consideration,Informational,PFL-AI candidates,Global,PFL-AI,Inside the PFL-AI syllabus,pfl-ai syllabus,"pfl-ai exam content, domains","finance domains, assessment blueprint",What does PFL-AI examine?,standard,Spoke,A-016,pfl-ai-syllabus-domains,projectcontrolsinstitute.org,/certifications/pfl-ai,pillar:A-016; siblings:A-018; money:/certifications/pfl-ai,PCI BoK pages,none,1500-2000,See the syllabus,Article,social-core,Finance domain map,[LIVE-SITE VERIFICATION PENDING],Unassigned,,,
A-018,Planned,4,Decision,Commercial,PFL-AI candidates,Global,PFL-AI,"PFL-AI cost, eligibility and exam format",pfl-ai exam cost,"pfl-ai fee, eligibility","fee, eligibility, assessment",What does PFL-AI cost and how is it assessed?,pricing-route,Spoke,A-016,pfl-ai-cost-eligibility-format,projectcontrolsinstitute.org,/certifications/pfl-ai,pillar:A-016; siblings:A-005; money:/pricing,PCI pricing and policy,none,1200-1600,Check current fees,Article+FAQPage,social-core,Fee components graphic,[PRICE UNVERIFIED]; [LIVE-SITE VERIFICATION PENDING],Unassigned,,,
A-019,Planned,4,Awareness,Informational,Quantity surveyors and cost engineers,Global,PFL-AI,PFL-AI for cost engineers and quantity surveyors,pfl-ai for cost engineers,"cost engineer certification, qs credential","cost control, commercial, finance",Is PFL-AI right for cost/commercial roles?,career,Spoke,A-016,pfl-ai-for-cost-engineers,projectcontrolsinstitute.org,/certifications/pfl-ai,pillar:A-016; siblings:A-042; money:/certifications/pfl-ai,PCI syllabus pages,none,1200-1600,Map your pathway,Article,social-core,Cost report review scene,[LIVE-SITE VERIFICATION PENDING],Unassigned,,,
A-020,Planned (pilot),5,Consideration,Commercial,Project managers and PMO leads,Global,PML-AI,PCI PML-AI explained: leading projects in the AI era,pml-ai certification,"pci pml-ai, project management leader certification","project leadership, governance, delivery, applied AI",What is PML-AI and who is it for?,standard,Pillar,New pillar page,pml-ai-certification-explained,projectcontrolsinstitute.org,/certifications/pml-ai,pillar:self; siblings:A-021 A-022; money:/certifications/pml-ai,PCI PML-AI syllabus,none,1600-2200,Review PML-AI,Article+EducationalOccupationalCredential(verify),full,Delivery-review room scene,[LIVE-SITE VERIFICATION PENDING],Unassigned,,,
A-021,Planned,5,Consideration,Informational,PML-AI candidates,Global,PML-AI,Inside the PML-AI syllabus,pml-ai syllabus,"pml-ai exam content, domains","leadership domains, assessment blueprint",What does PML-AI examine?,standard,Spoke,A-020,pml-ai-syllabus-domains,projectcontrolsinstitute.org,/certifications/pml-ai,pillar:A-020; siblings:A-022; money:/certifications/pml-ai,PCI BoK pages,none,1500-2000,See the syllabus,Article,social-core,Leadership domain map,[LIVE-SITE VERIFICATION PENDING],Unassigned,,,
A-022,Planned,5,Decision,Commercial,PML-AI candidates,Global,PML-AI,"PML-AI cost, eligibility and exam format",pml-ai exam cost,"pml-ai fee, eligibility","fee, eligibility, assessment",What does PML-AI cost and how is it assessed?,pricing-route,Spoke,A-020,pml-ai-cost-eligibility-format,projectcontrolsinstitute.org,/certifications/pml-ai,pillar:A-020; siblings:A-005; money:/pricing,PCI pricing and policy,none,1200-1600,Check current fees,Article+FAQPage,social-core,Fee components graphic,[PRICE UNVERIFIED]; [LIVE-SITE VERIFICATION PENDING],Unassigned,,,
A-023,Planned,5,Awareness,Informational,Delivery managers,Global,PML-AI,PML-AI vs a generalist PM credential: when leadership needs controls depth,pml-ai vs pm certification,project leadership credential comparison,"scope, governance, controls literacy",Why choose a controls-literate leadership credential?,comparison,Spoke,A-020,pml-ai-vs-generalist-pm-credentials,projectcontrolsinstitute.org,/certifications/pml-ai,pillar:A-020; siblings:A-044; money:/certifications/pml-ai,Official body pages,"PMI, PeopleCert",1400-1800,Compare honestly,Article,social-core,Two-column decision visual,[COMPETITOR FACTS PENDING],Unassigned,,,
A-024,Planned,6,Consideration,Informational,Multi-credential planners,Global,All certifications,"PCL-AI, PFL-AI, PML-AI: which order and why",pci certification order,"three certification pathway, which pci certification first","pathway, sequencing, career mapping",In what order should the three PCI credentials be taken?,comparison,Pillar,New pillar page,pci-certification-pathway-order,projectcontrolsinstitute.org,[DEEP URL PENDING],pillar:self; siblings:A-011 A-016 A-020; money:/certifications,PCI programme pages,none,1500-2000,Plan your pathway,Article+FAQPage,full,Three-step pathway diagram,[LIVE-SITE VERIFICATION PENDING],Unassigned,,,
A-025,Planned,6,Decision,Commercial,Career switchers,Global,All certifications,From project manager to project controls leader: a transition map,project manager to project controls,"career transition, controls career switch","transferable skills, gap analysis",How does a PM move into project controls leadership?,career,Spoke,A-024,pm-to-project-controls-transition,projectcontrolsinstitute.org,[DEEP URL PENDING],pillar:A-024; siblings:A-041; money:/certifications; world:pciworld.org/careers,PCI syllabus pages,none,1400-1800,Map the gap,Article,social-core,Skills bridge diagram,[LIVE-SITE VERIFICATION PENDING],Unassigned,,,
A-026,Planned (pilot),7,Decision,Commercial,Paid candidates,Global,Certuvo,"Certuvo and PCI: who does what, and what your exam fee includes",certuvo pci training,"certuvo access, pci training partner","training partner, learning access, certification body separation",What is Certuvo and what do I get after paying a PCI exam fee?,pricing-route,Pillar,New pillar page,certuvo-pci-training-partner,projectcontrolsinstitute.org,[DEEP URL PENDING],pillar:self; siblings:A-027 A-028; money:/pricing,PCI-Certuvo terms,none,1300-1700,See what's included,Article+FAQPage,full,Two-lane roles diagram (PCI vs Certuvo),[VERIFY CERTUVO ACCESS TERM]; [LIVE-SITE VERIFICATION PENDING],Unassigned,,,
A-027,Planned,7,Consideration,Informational,Candidates preparing,Global,Certuvo,Inside the Certuvo learning experience,certuvo learning experience,"guided learning, practice, feedback","modules, practice, progress",What does studying with Certuvo actually look like?,applied,Spoke,A-026,certuvo-learning-experience,projectcontrolsinstitute.org,[DEEP URL PENDING],pillar:A-026; siblings:A-029; money:/certifications,Certuvo official pages,none,1300-1700,Start learning,Article,social-core,Learner dashboard sketch (no real UI),[VERIFY CERTUVO ACCESS TERM],Unassigned,,,
A-028,Planned,7,Decision,Commercial,Candidates comparing prep options,Global,Certuvo,Self-study vs Certuvo-guided preparation for PCI exams,pci exam self study vs training,"prep options, guided vs self study","study modes, time budget, support",Do I need structured training to pass a PCI exam?,faq,Spoke,A-026,self-study-vs-guided-pci-prep,projectcontrolsinstitute.org,[DEEP URL PENDING],pillar:A-026; siblings:A-014; money:/pricing,PCI and Certuvo guidance,none,1200-1600,Choose your mode,Article+FAQPage,social-core,Fork-in-road study diagram,[VERIFY CERTUVO ACCESS TERM],Unassigned,,,
A-029,Planned (pilot),8,Consideration,Informational,Hands-on learners,Global,Labs,Guided labs and simulation labs: how PCI candidates practise real project control,pci simulation lab,"guided labs, project controls practice","lab scenario, deliverables, feedback, portfolio evidence",What do candidates actually do in PCI labs?,applied,Pillar,New pillar page,pci-guided-and-simulation-labs,projectcontrolsinstitute.org,[DEEP URL PENDING],pillar:self; siblings:A-030 A-031; money:/certifications,PCI lab documentation,none,1500-2000,Try the labs,Article,full,Simulated project dashboard scene,[LIVE-SITE VERIFICATION PENDING],Unassigned,,,
A-030,Planned,8,Consideration,Informational,Candidates building evidence,Global,Labs,Turning lab work into portfolio evidence employers trust,project controls portfolio,"portfolio evidence, demonstrable skills","artifacts, deliverables, review",How do lab outputs become career evidence?,applied,Spoke,A-029,lab-work-to-portfolio-evidence,projectcontrolsinstitute.org,[DEEP URL PENDING],pillar:A-029; siblings:A-031; money:/certifications; world:pciworld.org,PCI lab documentation,none,1300-1700,Build your portfolio,Article,social-core,Portfolio artifact collage,[LIVE-SITE VERIFICATION PENDING],Unassigned,,,
A-031,Planned,8,Awareness,Informational,Prospective candidates,Global,Labs,What a simulation lab decision cycle looks like,simulation lab project management,"realistic project simulation, decisions under constraint","constraints, trade-offs, assessment",What decisions does a simulation lab force?,applied,Spoke,A-029,simulation-lab-decision-cycle,projectcontrolsinstitute.org,[DEEP URL PENDING],pillar:A-029; siblings:A-030; money:/certifications,PCI lab documentation,none,1200-1600,See a scenario,Article,social-core,Decision-cycle loop diagram,[LIVE-SITE VERIFICATION PENDING],Unassigned,,,
A-032,Planned (pilot),9,Awareness,Informational,Community-minded practitioners,Global,PCI World,"PCI World and the Passport: rooms, forum, careers and what access means",pci world passport,"pci world community, passport benefits","rooms, forum, careers, passport validity",What is PCI World and what does the Passport give me?,trust,Pillar,New pillar page,pci-world-and-passport,pciworld.org,[DEEP URL PENDING],pillar:self; siblings:A-033 A-034; money:/certifications; world:pciworld.org,PCI World pages,none,1400-1800,Join PCI World,Article+FAQPage,full,Community rooms illustration,[LIVE-SITE VERIFICATION PENDING],Unassigned,,,
A-033,Planned,9,Consideration,Informational,Members,Global,PCI World,Getting value from PCI World rooms and the forum,pci world forum,"community rooms, professional forum","discussion, moderation, contribution",How do I actually use the community well?,standard,Spoke,A-032,using-pci-world-rooms-forum,pciworld.org,[DEEP URL PENDING],pillar:A-032; siblings:A-034; world:pciworld.org,PCI World pages,none,1100-1500,Join a room,Article,social-core,Threaded discussion visual,[LIVE-SITE VERIFICATION PENDING],Unassigned,,,
A-034,Planned,9,Decision,Commercial,Job seekers,Global,PCI World,PCI World careers: how the job surface works,pci world careers,project controls jobs board,"employers, applications, verification",How does the careers surface connect candidates and employers?,career,Spoke,A-032,pci-world-careers,pciworld.org,[DEEP URL PENDING],pillar:A-032; siblings:A-041; world:pciworld.org/careers,PCI World pages,none,1200-1600,Browse roles,Article,social-core,Job search scene,[LIVE-SITE VERIFICATION PENDING],Unassigned,,,
A-035,Planned,10,Decision,Navigational,Applicants,Global,MyPCI,Your MyPCI account: from application to credential,my pci portal,"my pci login journey, candidate portal","application, exam booking, results, credential",What does the MyPCI journey cover end to end?,standard,Pillar,New pillar page,my-pci-candidate-journey,mypci.org,[DEEP URL PENDING],pillar:self; siblings:A-009 A-036; money:/certifications,PCI portal guidance,none,1300-1700,Sign in to MyPCI,Article,social-core,Journey timeline graphic,[LIVE-SITE VERIFICATION PENDING],Unassigned,,,
A-036,Planned,10,Decision,Informational,Booked candidates,Global,MyPCI,Exam day with PCI: formats and what to expect,pci exam day,"exam experience, what to expect pci exam","check-in, rules, proctoring, results timing",What happens on exam day?,faq,Spoke,A-035,pci-exam-day-expectations,mypci.org,[DEEP URL PENDING],pillar:A-035; siblings:A-037; money:/certifications,PCI exam policy,none,1200-1600,Get exam-ready,Article+FAQPage,social-core,Calm candidate at desk,[LIVE-SITE VERIFICATION PENDING],Unassigned,,,
A-037,Planned,10,Retention,Informational,New certificants,Global,MyPCI,"After you pass: credential issue, sharing and verification",pci credential issued,"share certification, digital credential","issue, share, verify, registry",What happens after a pass?,trust,Spoke,A-035,after-you-pass-pci,mypci.org,[DEEP URL PENDING],pillar:A-035; siblings:A-002; money:/certifications,PCI verification policy,none,1100-1500,Verify and share,Article,social-core,Shareable credential card visual,[LIVE-SITE VERIFICATION PENDING],Unassigned,,,
A-038,Planned,11,Awareness,Informational,Newcomers,Global,Foundations,What is project controls? A working definition that survives real projects,what is project controls,"project controls meaning, planning cost risk","scheduling, cost, risk, forecasting, governance",What does project controls actually cover?,standard,Pillar,New pillar page,what-is-project-controls,projectcontrolsinstitute.org,[DEEP URL PENDING],pillar:self; siblings:A-039; money:/certifications,Authoritative bodies,none,1600-2200,Learn the discipline,Article+FAQPage,full,Discipline map infographic,none,Unassigned,,,
A-039,Planned,11,Awareness,Informational,Newcomers,Global,Foundations,Project controls vs project management: the difference that matters,project controls vs project management,"difference, roles, responsibilities","scope, function, collaboration",How do the two disciplines differ and work together?,comparison,Spoke,A-038,project-controls-vs-project-management,projectcontrolsinstitute.org,[DEEP URL PENDING],pillar:A-038; siblings:A-025; money:/certifications,Authoritative bodies,none,1300-1700,Explore both paths,Article,social-core,Venn-style roles diagram,none,Unassigned,,,
A-040,Planned (pilot),23,Decision,Comparison,Credential shoppers,Global,PCL-AI,PCI PCL-AI vs PMP: different purposes compared honestly,pcl-ai vs pmp,"pmp comparison, project controls vs pm certification","scope, audience, assessment, cost, renewal",Should I take PCL-AI or PMP — or both?,comparison,Pillar,New pillar page,pcl-ai-vs-pmp,projectcontrolsinstitute.org,/certifications/pcl-ai,pillar:self; siblings:A-023 A-044; money:/certifications/pcl-ai,PMI official pages,PMI,1800-2400,Decide with the guide,Article,full,Side-by-side decision table,[COMPETITOR FACTS PENDING],Unassigned,,,
A-041,Planned,21,Decision,Commercial,Early-career analysts,Global,Careers,Project controls career path: analyst to leadership,project controls career path,"career progression, controls roles","analyst, engineer, manager, director",What does progression look like in project controls?,career,Pillar,New pillar page,project-controls-career-path,projectcontrolsinstitute.org,[DEEP URL PENDING],pillar:self; siblings:A-015 A-025; money:/certifications; world:pciworld.org/careers,Role evidence,none,1500-2000,Plan your next step,Article,full,Career ladder graphic,none,Unassigned,,,
A-042,Planned,24,Decision,Comparison,Finance-adjacent professionals,Global,PFL-AI,PCI PFL-AI vs CFA: project finance vs investment finance,pfl-ai vs cfa,"cfa comparison, project finance certification","purpose, depth, audience, cost",Is PFL-AI or CFA right for my finance goals?,comparison,Spoke,A-045,pfl-ai-vs-cfa,projectcontrolsinstitute.org,/certifications/pfl-ai,pillar:A-045; siblings:A-043; money:/certifications/pfl-ai,CFA Institute official pages,CFA Institute,1800-2400,Decide with the guide,Article,full,Purpose-contrast diagram,[COMPETITOR FACTS PENDING],Unassigned,,,
A-043,Planned (pilot),24,Decision,Comparison,Management accountants,Global,PFL-AI,PCI PFL-AI vs CMA: delivery finance vs management accounting,pfl-ai vs cma,cma ima comparison,"purpose, syllabus, audience, cost",Should a management accountant consider PFL-AI?,comparison,Spoke,A-045,pfl-ai-vs-cma,projectcontrolsinstitute.org,/certifications/pfl-ai,pillar:A-045; siblings:A-042; money:/certifications/pfl-ai,IMA official pages,IMA,1600-2200,Decide with the guide,Article,social-core,Two-lane comparison visual,[COMPETITOR FACTS PENDING],Unassigned,,,
A-044,Planned,23,Decision,Comparison,Credential shoppers,Global,All certifications,PCI vs PRINCE2: methodology certification vs applied controls credential,pci vs prince2,prince2 comparison,"methodology, applied practice, assessment",How does PCI differ from PRINCE2?,comparison,Spoke,A-040,pci-vs-prince2,projectcontrolsinstitute.org,[DEEP URL PENDING],pillar:A-040; siblings:A-023; money:/certifications,PeopleCert official pages,PeopleCert,1600-2200,Decide with the guide,Article,social-core,Approach-contrast diagram,[COMPETITOR FACTS PENDING],Unassigned,,,
A-045,Planned,24,Decision,Comparison,Finance/audit/IT professionals,Global,All certifications,PCI vs finance and audit credentials: an honest orientation,pci vs finance certifications,cfa cia cisa cpa acca cima comparison,"purpose, jurisdiction, regulation",Where does PCI sit among finance/audit credentials?,comparison,Pillar,New pillar page,pci-vs-finance-audit-credentials,projectcontrolsinstitute.org,[DEEP URL PENDING],pillar:self; siblings:A-042 A-043; money:/certifications,Official body pages,"CFA Institute, IIA, ISACA, jurisdictional CPA boards, ACCA, CIMA",1800-2400,Find your fit,Article,full,Landscape map graphic,[COMPETITOR FACTS PENDING],Unassigned,,,
A-046,Planned (pilot),25,Decision,Informational,Prospective candidates,Global,All certifications,Which PCI certification should I take first? A decision guide,which pci certification,pcl-ai vs pfl-ai vs pml-ai,"role, goals, sequencing",Which of the three credentials fits me now?,faq,Pillar,New pillar page,which-pci-certification-first,projectcontrolsinstitute.org,[DEEP URL PENDING],pillar:self; siblings:A-024; money:/certifications,PCI programme pages,none,1400-1800,Take the decision path,Article+FAQPage,full,Decision-tree graphic,none,Unassigned,,,
A-047,Planned,25,Awareness,Informational,Sceptical researchers,Global,All certifications,Is PCI certification legitimate? How to check for yourself,is pci certification legit,"pci reviews, legitimacy check","verification, governance, policies",How do I verify PCI's legitimacy independently?,trust,Spoke,A-046,is-pci-certification-legitimate,projectcontrolsinstitute.org,[DEEP URL PENDING],pillar:A-046; siblings:A-001 A-002; money:/certifications,PCI policy pages,none,1300-1700,Verify for yourself,Article+FAQPage,social-core,Checklist visual,[LEGAL STATUS — PCI APPROVAL REQUIRED],Unassigned,,,
A-048,Planned,25,Consideration,Informational,Busy professionals,Global,All certifications,How long does PCI certification take? Honest time planning,how long pci certification,"study time, time commitment","hours, weeks, pacing",How much time should I budget?,faq,Spoke,A-046,how-long-pci-certification-takes,projectcontrolsinstitute.org,[DEEP URL PENDING],pillar:A-046; siblings:A-014; money:/certifications,PCI guidance; illustrative examples labelled,none,1100-1500,Plan your calendar,Article+FAQPage,social-core,Timeline scenarios graphic,none,Unassigned,,,
A-049,Planned,25,Awareness,Informational,Myth-checkers,Global,All certifications,"Five myths about AI in project controls, corrected",ai project controls myths,"ai replacing planners, ai myths","automation, judgement, governance",Will AI replace project controls professionals?,standard,Spoke,A-046,ai-project-controls-myths,projectcontrolsinstitute.org,[DEEP URL PENDING],pillar:A-046; siblings:A-038; money:/certifications,Authoritative sources,none,1300-1700,See the real skills,Article,social-core,Human-with-tools scene (no robots),none,Unassigned,,,
A-050,Planned,25,Decision,Informational,Employers' HR teams,Global,All certifications,How employers can verify and value PCI credentials,employer verify pci credential,credential checks for hiring,"verification, registry, competence signals",How should an employer treat a PCI credential in hiring?,trust,Spoke,A-046,employers-verify-pci-credentials,projectcontrolsinstitute.org,[DEEP URL PENDING],pillar:A-046; siblings:A-002 A-010; money:/certifications; world:pciworld.org/careers,PCI verification policy,none,1200-1600,Verify a candidate,Article,social-core,HR verification workflow,none,Unassigned,,,
A-051,Planned,1,Consideration,Informational,"Prospective candidates, employers and regulators",Global,PCI (entity),"What ""developed with reference to ISO/IEC 17024"" means at PCI",iso 17024 certification meaning,"iso, 17024, what, does, referencing","certification, meaning, referencing, commit",What does referencing ISO/IEC 17024 actually commit PCI to?,trust,Spoke,A-001,what-developed-with-reference-to-iso-iec-17024-means-at-pci,projectcontrolsinstitute.org,[DEEP URL PENDING],"pillar:A-001; cluster:PCI entity, mission, governance and policies; money:/certifications",PCI policy pages,none,1200-1800,Read the policies,Article,social-core,"Brief: what ""developed with reference to iso/iec 17024"" means at pci",[LEGAL STATUS — PCI APPROVAL REQUIRED]; [LIVE-SITE VERIFICATION PENDING],Unassigned,,,
